name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,time_res
11A3,565,5678.5604823498,-1711.61822014263,2.05059345988995,11.2001015263612,560643641.038315,107.488393158703,338.19863711312,47.923798425287,5.71021136288193,1.67489212467813,406101.376357007,0.005471157021839,0.034527977088341,0.034713217874791,0.00413608981024,0.000123812358209,4.0958926622802E-05
11D,565,6971.96600276916,-1642.88213679085,0.492197567803104,126.889524215241,2347003455.40146,150.494637774299,338.364498918173,52.4610707933424,-8.59097131751827,1.67921398633494,317851.186433803,0.001388882186454,0.007064740380329,0.007105337119838,0.001163501290193,3.22273421314437E-05,4.0958926622802E-05
11A1a,566.666666666667,7198.4092369068,-9909.7867165129,99.2082722927101,9.43688749837952,478475600.28133,92.4670018031062,338.549150277355,34.9792247729014,3.41826817583735,1.58883901741224,619264.681219828,0.004498327461549,0.045267815337717,0.045275115302424,0.004424246076591,0.000180588721778,4.0958926622802E-05
11A1b,566.666666666667,7009.62678405488,-9424.54961804849,54.4910793337635,11.899299180065,629600227.086187,95.4355905140539,337.79866803308,33.8834703718936,2.00836031149153,1.58976775502387,820830.260223785,0.002748982117404,0.044175617742157,0.044183541446514,0.002618549853237,0.00010966312591,4.0958926622802E-05
11A2,566.666666666667,6330.88778087395,-4921.4920706236,14.5219831679985,8.7094702842506,394905737.155853,94.4622514860258,337.501468585304,51.799351133599,2.69466847470596,1.60711457934292,573147.695881648,0.004767754001475,0.075134145042304,0.075183598201114,0.003911241924589,0.000107071064963,4.0958926622802E-05
11A3,566.666666666667,5678.5604823498,-1906.54128522808,2.56677661735588,10.8894393280302,562076415.733236,107.488367545561,338.234822688715,47.7571012037482,5.71192997989277,1.6643148979165,410004.710647404,0.005271727677525,0.034685967134446,0.034836013602113,0.004166483240229,0.000125171258071,4.0958926622802E-05
11D,566.666666666667,6971.96600276916,-1765.01029141227,0.574345072116254,126.407889674445,2342745707.20237,150.494756129841,338.374990101609,52.3035565584055,-8.61682053322884,1.67176488399767,319234.07151095,0.001371456866807,0.007092285312927,0.007127598619158,0.001174198289144,3.26329346805236E-05,4.0958926622802E-05
11A1a,568.333333333333,7198.4092369068,-6091.67634650084,36.0545123737044,9.46103482424297,477843883.281688,92.4690765035816,338.274038325978,35.6593444534158,3.39249458372906,1.60014248285478,610952.893500888,0.004537558727246,0.045577214150378,0.045596670231947,0.00433769283651,0.000173589981668,4.0958926622802E-05
11A1b,568.333333333333,7009.62678405488,-13293.9062804302,115.852279525824,12.0580703031594,651376320.078615,95.4382970358709,337.894675708275,31.5050996033637,2.00001176540058,1.58424668765684,846983.52666057,0.002658316988185,0.040970995662431,0.040974687075814,0.002600800786667,0.00011720159613,4.0958926622802E-05
11A2,568.333333333333,6330.88778087395,-6394.20095003673,24.4846558970564,8.72661934213794,396479526.846317,94.4633381305549,337.212444371621,51.2639403530135,2.66711371275764,1.59875478894022,574979.157423902,0.004390064559078,0.074318117209949,0.074347102448547,0.003868285029653,0.000107002681606,4.0958926622802E-05
11A3,568.333333333333,5678.5604823498,-2204.60593275569,3.41989192433934,11.002766194829,559650531.442758,107.489104762069,338.195228173866,47.7104079148511,5.7154745434628,1.65173052275915,406980.820971921,0.00500309898084,0.034584542059574,0.034696456979298,0.004156608164333,0.000125001518411,4.0958926622802E-05
11D,568.333333333333,6971.96600276916,-1886.91502743764,0.662526913389694,122.727559788855,2349586714.83459,150.494867984102,338.384576157948,52.187384234684,-8.59726518948131,1.66528185764713,323573.22326985,0.001359862716931,0.007156376299386,0.007187563968715,0.00118400730815,3.29783273797786E-05,4.0958926622802E-05
11A1a,570,7198.4092369068,-12083.590363992,144.998545726866,9.43080741265635,475494097.058229,92.4711170628375,338.555691613078,35.2652099201171,3.42961371556413,1.58559371426385,607991.907340344,0.004435495146654,0.045090983204428,0.045095874781932,0.004385482633396,0.000177537173016,4.0958926622802E-05
11A1b,570,7009.62678405488,-27049.346637536,456.326921903776,11.9510839443439,636245359.355373,95.439679212147,338.29473402528,32.9758340830927,2.00019374160138,1.57740706005391,824175.588083342,0.002606466166121,0.04272401998958,0.042724950224444,0.002591177786037,0.000111520907028,4.0958926622802E-05
11A2,570,6330.88778087395,-9175.28384816953,51.0660144272957,8.7281208882673,395990447.672898,94.4656792745902,337.962658576743,50.8645382913998,2.6868846461101,1.59028302479733,573083.534794964,0.004144555961725,0.073603454878435,0.073617400557876,0.00388899537939,0.00010842782862,4.0958926622802E-05
11A3,570,5678.5604823498,-2531.9738703837,4.46309314846186,11.0440446590439,561491898.64912,107.489711491828,338.284877178304,47.7114095604214,5.6982622622772,1.64130345427322,405913.253178511,0.004773835498063,0.034406799085456,0.034491271606279,0.004119405342569,0.000123870951054,4.0958926622802E-05
11D,570,6971.96600276916,-2062.55948282693,0.790392457219053,124.668729389895,2346592531.21098,150.495079825435,338.379814094637,52.0790863889479,-8.61819989339326,1.65727751911511,321595.623417958,0.001328443029686,0.007111846206534,0.007137789532851,0.001181134337898,3.29754263056525E-05,4.0958926622802E-05
11D,583,6971.96600276916,-6972.28431406615,9.26527835291099,121.903155686147,2357825568.37147,150.496213758579,338.436994011456,51.241959454697,-8.65233223949925,1.5964377694676,326700.341661468,0.001212177922927,0.007097181670113,0.007099448810896,0.001198827948634,3.40592798918632E-05,4.0958926622802E-05
