,name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,time_res
43,2,555.870473684211,4427.43838194467,-576.681853201843,0.394858672537065,3.81495436667291,81.4952949400612,512.493046391513,512.487994489399,179.921266736112,44.0981647946239,4.97105747249047,0.037423518810254,0.02879811751038,0.080024137572609,0.082805842290419,0.020240730577277,0.000169317112349,1.024E-05
44,3,555.870473684211,4489.92447670638,-1421.08476396487,0.65804883517211,4.02997813086399,184.925239609984,512.495346369934,512.401881089109,171.512038028167,19.0853295452889,1.67776074656419,0.057052043577279,0.00813361807785,0.052606859346432,0.05300011353362,0.005886218719017,4.91541049144049E-05,1.024E-05
45,4,555.870473684211,4603.95218063416,97.9755578513078,-215.497272863372,3.32574438729351,-1,-1,-1,-1,-1,-2.5707963267949,-1,-1,-1,-1,-1,-1,1.024E-05
46,5,555.870473684211,4435.77619565023,-1176.27903894662,21.0166808213493,3.37433913561496,5.51141294880203,512.472634144765,512.539414576901,168.061560444825,37.2414415701159,1.69979678842678,0.038081252479435,0.295835283985045,1.15109254630178,1.16175607047086,0.257336017994862,0.002279377209974,1.024E-05
47,6,555.870473684211,4513.18439311792,-1979.72620277295,1.1686687407131,6.61759605465924,155.246250254284,512.493857821188,512.110860924578,158.820490227947,12.2259027254348,1.64771949354873,0.064116323547106,0.00712395759165,0.065397571063512,0.065625383667363,0.00504913209412,4.52302408647884E-05,1.024E-05
48,7,555.870473684211,4351.04256542009,-700.440226853084,0.399652741482187,6.20500842131213,269.781496422608,512.496285626247,512.474201580866,38.3844669158683,103.924887777072,1.78529085861291,0.052927859803716,0.008542117234731,0.019984710978024,0.007530300459951,0.020387520846768,0.000118665536385,1.024E-05
49,8,555.870473684211,4563.38681317666,-300.280449195011,0.051836627786995,5.72294547144618,245.920727336711,512.494470139974,512.498935079617,175.309455312821,63.352030924658,2.04094366491875,0.029167929920365,0.011557480111086,0.018845551220981,0.020802497744491,0.007513145783961,6.9718318304325E-05,1.024E-05
50,11,555.870473684211,4511.88830173482,-744.834190057079,3.63539186970577,3.38750398696184,11.9228403070911,512.495225846421,512.618900754529,184.863006106113,39.1445514674527,1.77286205886399,0.036542169019545,0.163348436357397,0.555327091477371,0.568685782499774,0.119768834346124,0.000959616274693,1.024E-05
51,12,555.870473684211,4404.97612469556,-728.797552019375,0.566743513742721,3.91542621900525,82.4773744640714,512.497365307108,512.467533027762,140.118645480605,28.2799445688384,1.77718445888124,0.04323568560424,0.020905973900585,0.071953359249799,0.073449819748735,0.014824038372945,0.00015597706332,1.024E-05
52,13,555.870473684211,4594.33122479557,-687.507297833797,0.113388303184307,11.6176371668896,927.567251232506,512.498679310022,512.465447145767,143.323933424642,40.0440064054886,1.78919981007307,0.075503298399641,0.00406387105753,0.011410983542609,0.011666749846108,0.003259501533907,3.48859859205711E-05,1.024E-05
53,14,555.870473684211,4475.58898865501,-1575.43472249642,0.341896479897801,4.78035130004628,328.649781860255,512.496879861071,512.283813021707,161.847415291389,11.4430429704309,1.66734963019043,0.068110934976699,0.004003031390272,0.033384343960268,0.033563926316807,0.002371092744264,2.08237450697675E-05,1.024E-05
54,15,555.870473684211,4278.44075262017,-275.921358955455,0.146736733475075,15.2902608977381,520.572713904685,512.483212226721,512.489164009506,67.3874137953077,46.4709916954082,2.07594926112364,0.063049857372451,0.006313616653221,0.007644429804746,0.008162051512508,0.005628497068464,0.00022521852676,1.024E-05
55,16,555.870473684211,4363.17134308007,-760.863966250907,0.055087666060471,159.205460953326,2591.21198706587,512.498448284565,512.486708402195,126.496699224802,46.0425782693598,1.76871640903186,0.060955906459803,0.001212482496402,0.002925334965685,0.002975670082808,0.001083104919166,1.39584059904028E-05,1.024E-05
56,1,556.459631578947,4458.21232566804,-776.132701322193,0.106896464046656,9.59505523673071,1816.6852259678,512.499040993219,512.484048359412,175.403490387612,46.7200944348567,1.76492077858798,0.116833457468529,0.003662901213214,0.011081368087308,0.011301469965621,0.003003252546882,2.60700295951278E-05,1.024E-05
57,2,556.459631578947,4427.43838194467,-597.093127225115,0.423388144065231,3.81218895276137,81.4893140120844,512.49345214074,512.51036608979,179.543362479043,44.1829927674288,4.96258547963102,0.037422779691083,0.028331745568589,0.080026890138135,0.082636815471523,0.020280962651597,0.000170098336273,1.024E-05
58,3,556.459631578947,4489.92447670638,-1536.37219669908,0.772817492344593,4.02815273206623,184.649078323033,512.495276104865,512.371788796605,171.345798451293,19.1209159591926,4.81138135810784,0.057168091811012,0.007884064931895,0.052784038966599,0.053135129304558,0.005917880731988,4.94699305332376E-05,1.024E-05
59,4,556.459631578947,4603.95218063416,-832.310266538087,12.2797573051627,3.31032220906603,4.14206855343643,512.400560638169,512.709719535885,-26.538472110532,-164.350554774844,1.75211339871086,0.046244833946767,0.440200289994588,1.80249016399352,0.295876262384591,1.83310704096164,0.002616872785228,1.024E-05
60,5,556.459631578947,4435.77619565023,-1261.56061882718,24.0957085326119,3.36744327908274,5.54252000076849,512.475095143613,512.484765149484,167.335661403227,37.1003505227638,1.69116332849283,0.038273935260906,0.289477491327178,1.14717934084934,1.1564753145285,0.256082620985021,0.002276858907706,1.024E-05
61,6,556.459631578947,4513.18439311792,-2220.11005521183,1.46770360031453,6.67408071738877,154.899921268822,512.494411348586,512.035513624321,158.741695623183,12.2328443765999,1.63941828734472,0.063895584472712,0.006745277569197,0.065324666568405,0.065512860742704,0.005045791577204,4.52233502842947E-05,1.024E-05
62,7,556.459631578947,4351.04256542009,-741.054833268782,0.44428605190415,6.30341708532259,269.744614192703,512.496193357534,512.469480673644,38.4739522405085,103.667170879644,-29.6420619775015,0.052481267293248,0.008384019616221,0.019811498152377,0.007485138501007,0.020168290396469,0.000118426455608,1.024E-05
63,8,556.459631578947,4563.38681317666,-306.107583708072,0.053185040894177,5.86865545470582,246.058938406538,512.494581076913,512.495763003342,174.72251521256,63.4853332037805,2.03322558031553,0.028833634841718,0.011301984863197,0.018620740960988,0.020483766675134,0.007438461108096,6.93712779325586E-05,1.024E-05
64,11,556.459631578947,4511.88830173482,-777.376525190837,3.97705292461172,3.37670545132278,11.9389990302006,512.496360677511,512.512925578383,184.286953799669,39.2673699011221,1.76461790076309,0.036603492223224,0.160527187684226,0.554899245678716,0.5673087272069,0.120260311308172,0.000966941845123,1.024E-05
65,12,556.459631578947,4404.97612469556,-762.145234205784,0.620323172677083,3.91259728657366,82.4376194299559,512.498361722954,512.468092967986,139.897229157511,28.3405586885368,1.7683922792698,0.043233075883167,0.020487307121684,0.07199036453635,0.073360497430801,0.014861443862595,0.000156673097069,1.024E-05
66,13,556.459631578947,4594.33122479557,-713.963053908256,0.123213648591884,11.4753176391794,927.556668345375,512.498579585277,512.464462546632,143.090653434767,40.1099028202862,1.78134832652266,0.076046302235367,0.004043812510616,0.011492636079597,0.011731650478237,0.003288375589217,3.52720128408698E-05,1.024E-05
67,14,556.459631578947,4475.58898865501,-1712.00888085198,0.402118886627991,4.80757083147606,328.575091932588,512.496767898712,512.250315122642,161.733434649967,11.4413250521196,1.65968941891577,0.067877700183808,0.003786533768015,0.033278064887117,0.033433374727552,0.002363235819037,2.07695074862585E-05,1.024E-05
68,15,556.459631578947,4278.44075262017,-283.105686442036,0.155584097026281,15.3698522142128,520.618460378708,512.484087003659,512.489389320115,67.125137146643,46.6410403934644,2.065138406944,0.062897708308198,0.006277713158057,0.007623289178756,0.008109955624678,0.005634965791377,0.000229525422458,1.024E-05
69,16,556.459631578947,4363.17134308007,-798.921430207257,0.060523434013301,160.607431965045,2590.86078852701,512.498585614427,512.487064808649,126.286806557901,46.1200413415899,1.75951588421608,0.060687608284476,0.001197467156548,0.00291259025382,0.002958056000339,0.001080298118117,1.39596768932444E-05,1.024E-05
70,1,557.048789473684,4458.21232566804,-813.795903745088,0.116608514226867,9.74214490328644,1816.74679398009,512.499099596924,512.484419668373,175.113594507167,46.790915018749,1.75614565222312,0.115895562791501,0.00358266003734,0.010991110945453,0.011191822977734,0.00298355971259,2.59545318368203E-05,1.024E-05
71,2,557.048789473684,4427.43838194467,-618.866956300468,0.453787712527809,3.82034251267466,81.5186945622183,512.493611023685,512.47538733981,179.181446389169,44.2615977112404,1.81253481356292,0.037350659264895,0.027809709604948,0.079840823283601,0.082279805956467,0.020269647884312,0.000170430778137,1.024E-05
72,3,557.048789473684,4489.92447670638,-1677.16429521609,0.91827937877448,4.04885724484255,184.508728898611,512.495368020248,512.344451645696,171.186535214903,19.1415162557138,4.80311888930408,0.056929997101936,0.007580913109888,0.052596571053803,0.052905105851425,0.005904223608207,4.9404179737876E-05,1.024E-05
