name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,background,regstart_a,regend_a,regstart_b,regend_b,regstart_c,regend_c,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err
B047,569.0,1391.9438309591214,56.504248576550424,0.33361857819895524,-1.5884922636660082,6.547397667657172,9.180616945382148,0.2279756542254185,17.273340737649715,1.4840324745029732,214.1820648241013,-0.017695936871111508,0.09790744738907543,0.043383167718521534,2.282751275584279,0.015816721244952644,2.2831608401419694,0.00010446047943962986,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-56.504248576550424,-0.040593770610424754,-24.634321595717775,-2.9163368310956584e-08,1.4840324745029732,214.1820648241013,0.015816721244952644,2.2831608401419694,0.0002432840122136021,0.0002433221070846985,1.4842648532166611,-1.483800121014963,0.0025933111347878086,0.2432840122136021,1.4842648532166611,0.2433221070846985,0.0006132857535732991
B047,569.5,1391.9438309591214,51.37676657388999,0.3012375305978681,-1.5902579202793174,6.523131156541457,8.555983716797611,0.2337382012715397,17.833919917781323,1.6483798521536877,219.6933838071235,-0.019461593484420888,0.09204043132984197,0.04926138417504443,2.3616559902133667,0.017717709653434083,2.3622034465581967,0.0001140804016013552,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-51.37676657388999,-0.03691008604742961,-27.09286558462627,-2.6516936406835216e-08,1.6483798521536877,219.6933838071235,0.017717709653434083,2.3622034465581967,0.0002702262052710962,0.00027027738504304896,1.6486920487625993,-1.648067697087508,0.002905092675006666,0.2702262052710962,1.6486920487625993,0.27027738504304893,0.0005527330374272946
B047,570.0,1391.9438309591214,0.6420926159343308,-1.4122829274373918,-2.570796326794897,7.202593465096397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-0.6420926159343308,-0.0004612920447313565,-2167.824074621473,-3.3140133565123983e-10,1.0,1.0,-1.0,-1.0,0.00016393442622950814,0.00016393442622950817,1.0000000000000002,-0.5403023058681394,0.12555590922753773,0.16393442622950813,1.0000000000000002,0.16393442622950816,-0.002722979989824557
B047,570.5,1391.9438309591214,0.6420926159343308,-1.4122829274373918,-2.570796326794897,6.7792345300710055,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-0.6420926159343308,-0.0004612920447313565,-2167.824074621473,-3.3140133565123983e-10,1.0,1.0,-1.0,-1.0,0.00016393442622950814,0.00016393442622950817,1.0000000000000002,-0.5403023058681394,0.12555590922753773,0.16393442622950813,1.0000000000000002,0.16393442622950816,-0.0026417415559979456
B047,571.0,1391.9438309591214,0.6420926159343308,-1.4122829274373918,-2.570796326794897,7.116806642625643,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-0.6420926159343308,-0.0004612920447313565,-2167.824074621473,-3.3140133565123983e-10,1.0,1.0,-1.0,-1.0,0.00016393442622950814,0.00016393442622950817,1.0000000000000002,-0.5403023058681394,0.12555590922753773,0.16393442622950813,1.0000000000000002,0.16393442622950816,-0.00270671532495935
B047,571.5,1391.9438309591214,0.6420926159343308,-1.4122829274373918,-2.570796326794897,6.8991842645476575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-0.6420926159343308,-0.0004612920447313565,-2167.824074621473,-3.3140133565123983e-10,1.0,1.0,-1.0,-1.0,0.00016393442622950814,0.00016393442622950817,1.0000000000000002,-0.5403023058681394,0.12555590922753773,0.16393442622950813,1.0000000000000002,0.16393442622950816,-0.002665010170158511
B047,572.0,1391.9438309591214,0.6420926159343308,-1.4122829274373918,-2.570796326794897,7.015861923154124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-0.6420926159343308,-0.0004612920447313565,-2167.824074621473,-3.3140133565123983e-10,1.0,1.0,-1.0,-1.0,0.00016393442622950814,0.00016393442622950817,1.0000000000000002,-0.5403023058681394,0.12555590922753773,0.16393442622950813,1.0000000000000002,0.16393442622950816,-0.0026874507563319125
B047,572.5,1391.9438309591214,0.6420926159343308,-1.4122829274373918,-2.570796326794897,7.067151670255959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-0.6420926159343308,-0.0004612920447313565,-2167.824074621473,-3.3140133565123983e-10,1.0,1.0,-1.0,-1.0,0.00016393442622950814,0.00016393442622950817,1.0000000000000002,-0.5403023058681394,0.12555590922753773,0.16393442622950813,1.0000000000000002,0.16393442622950816,-0.0026972562277748882
B047,573.0,1391.9438309591214,2.1074849794634205,0.626695759945837,158083639.6954438,5.573122182474543,127.91738519884251,0.17428282776726106,12.686000835913859,0.05568684999845763,3.6702405753186103,158083641.26624015,6.87023446205068,8.449551661860232,17.812338963521267,0.009227730689349149,5.147259752924679,0.11516981957155893,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-2.1074849794634205,-0.001514058924354192,-660.4762759986643,-1.087729900215102e-09,0.05568684999845763,3.6702405753186103,0.009227730689349149,5.147259752924679,9.128991803025839e-06,1.0104297214410728e-05,0.06163621300790547,-0.05031043879588567,0.0017629281376374377,0.00912899180302584,0.06163621300790547,0.010104297214410729,0.001062880227463517
B047,573.5,1391.9438309591214,2.1074849794634205,0.6212760337244035,158083639.6954438,5.597671833218764,127.91738519884251,0.17428282776726106,12.686000835913859,0.05568684999845763,3.6702405753186103,158083641.26624015,6.810850739921103,8.376490698989038,17.658320646775373,0.009147928418069207,5.1027456519320635,0.11417381970855732,12.5,0.00016393442622950814,1.0,2.0,64,160,80,0.0,4.918032646179199,,,,,,,,,,-2.1074849794634205,-0.001514058924354192,-660.4762759986643,-1.087729900215102e-09,0.05568684999845763,3.6702405753186103,0.009147928418069207,5.1027456519320635,9.128991803025839e-06,1.0104297214410728e-05,0.06163621300790547,-0.05031043879588567,0.001747682170649,0.00912899180302584,0.06163621300790547,0.010104297214410729,0.0010560065382401733
