name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,regstart_c,regend_c,regstart_d,regend_d,background,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err
11A,574.0,6568.92191811869,-1316.7544541392301,0.19506277124576896,-1.57003688390514,24.6413539781718,7.704147160128059,0.061737204809696,4.952089298555361,0.44746939505777894,978.540626769205,0.000759442889755,0.001341086972203,0.000150815242002,0.17023325679014,7.7661180303445e-05,0.172665622844112,1.1250311495280301e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1316.7544541392301,0.200452139719807,4.988722003156489,3.0515226428085725e-08,0.44746939505777894,978.540626769205,7.7661180303445e-05,0.172665622844112,1.8323573414685994e-05,1.8323578698778734e-05,0.4474695240975534,-0.4474692660180147,3.1801744763940175e-06,0.018323573414685993,0.4474695240975534,0.018323578698778733,0.000147405121825643
11A,575.0,6568.92191811869,-1374.03182636589,0.212823403755567,-1.57006854174345,24.539032408389698,7.70647520287436,0.061738290295581,4.94843507570636,0.44746012990838396,978.2451091411839,0.000727785051448,0.0013438039596059999,0.000146443925606,0.1704785228875,7.779370047937958e-05,0.172907608243999,1.1272638245035e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1374.03182636589,0.20917158758973448,4.78076402021379,3.1842605255024904e-08,0.44746012990838396,978.2451091411839,7.779370047937958e-05,0.172907608243999,1.8323194012995035e-05,1.832319886562808e-05,0.44746024841173065,-0.4474600114050438,3.1856010158237595e-06,0.018323194012995037,0.44746024841173065,0.018323198865628082,0.00016049222655615432
11A_a,555.0,7124.908125971529,-5455.15044074901,1.4054426605512e-14,-1.5706130137956202,1.04491140904187e+31,3.2991320236106803,0.060887950704671,2.2516709885385002,0.16492851326826502,268.487206077679,0.00018331299927700002,1.7932747032049798e-18,9.356972314337839e-20,1.45948248917507e-16,8.966272895633288e-20,1.4594825810370502e-16,4.72280107475612e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,5455.15044074901,0.7656450222654855,1.3060882927718591,1.0746033615150436e-07,0.16492851326826502,268.487206077679,8.966272895633288e-20,1.4594825810370502e-16,6.753712665993268e-06,6.753712779467944e-06,0.1649285160393645,-0.16492851049716453,3.671629037299245e-21,0.006753712665993268,0.1649285160393645,0.0067537127794679444,0.006376371307481831
11A_a,556.0,7124.908125971529,-4429.43115437147,9.71461683079154e-15,-1.57057056417479,9.24098194110908e+30,3.29685175339439,0.060956707694705,1.56859336365328,0.164389683856745,270.590394852428,0.00022576262011000004,1.8997480200627898e-18,1.0106862696340699e-19,1.55930265905546e-16,9.473898439944439e-20,1.5593030269938301e-16,4.951419715379209e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,4429.43115437147,0.6216825643302576,1.6085379538950173,8.725481835535766e-08,0.164389683856745,270.590394852428,9.473898439944439e-20,1.5593030269938301e-16,6.73164796081113e-06,6.7316481323629474e-06,0.16438968804611273,-0.1643896796673758,3.879498350700884e-21,0.00673164796081113,0.16438968804611273,0.006731648132362948,0.004144818023362334
11A_a,557.0,7124.908125971529,-6409.1525987663,1.96865226038848e-14,-1.5706402999291798,9.98472723816568e+30,3.3081451401493998,0.060922989718744,2.79425523832762,0.164338089258365,268.333479929673,0.000156026865717,1.8301980922022898e-18,9.383942982915929e-20,1.4846343119880902e-16,9.09349837710323e-20,1.4846344035542e-16,4.79256238880017e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,6409.1525987663,0.8995417885325179,1.1116770924354347,1.262531070756592e-07,0.164338089258365,268.333479929673,9.09349837710323e-20,1.4846344035542e-16,6.729535196403868e-06,6.729535278317029e-06,0.16433809125871895,-0.16433808725801033,3.723727007427157e-21,0.006729535196403868,0.16433809125871895,0.006729535278317029,0.008730876476471213
11A_a,557.91,7124.908125971529,-6743.04264506652,1.9890968932643102e-14,-1.57064802579114,1.18381301694273e+31,3.3174604442327595,0.060890409209374004,2.79368084430988,0.16342017364421302,268.756472432269,0.00014830100376100002,1.6873830458251299e-18,8.55729369659172e-20,1.3670832295644502e-16,8.31361673494644e-20,1.36708384221928e-16,4.374658103940499e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,6743.04264506652,0.9464041536882358,1.0566310345351884,1.3283036594372748e-07,0.16342017364421302,268.756472432269,8.31361673494644e-20,1.36708384221928e-16,6.691947163948088e-06,6.691947237536686e-06,0.16342017544127765,-0.16342017184714774,3.404370666285466e-21,0.006691947163948088,0.16342017544127765,0.006691947237536687,0.009605461287383326
11A_a,558.0,7124.908125971529,-6743.04264506652,1.9890968932643102e-14,-1.57064802579114,1.18381301694273e+31,3.3174604442327595,0.060890409209374004,2.79368084430988,0.16342017364421302,268.756472432269,0.00014830100376100002,1.6873830458251299e-18,8.55729369659172e-20,1.3670832295644502e-16,8.31361673494644e-20,1.36708384221928e-16,4.374658103940499e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,6743.04264506652,0.9464041536882358,1.0566310345351884,1.3283036594372748e-07,0.16342017364421302,268.756472432269,8.31361673494644e-20,1.36708384221928e-16,6.691947163948088e-06,6.691947237536686e-06,0.16342017544127765,-0.16342017184714774,3.404370666285466e-21,0.006691947163948088,0.16342017544127765,0.006691947237536687,0.009605461287383326
11A_a,559.0,7124.908125971529,-7736.299906143359,2.6893908114416802e-14,-1.57066706603632,1.14563856684782e+31,3.2958186928888398,0.060931593800345,3.18167717432216,0.165123819500692,268.809473614584,0.000129260758575,1.70449174245118e-18,8.728263759720889e-20,1.39029114603455e-16,8.54121175577124e-20,1.39029167416107e-16,4.49352657906731e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,7736.299906143359,1.0858104791475416,0.92097103426842,1.5239641830461975e-07,0.165123819500692,268.809473614584,8.54121175577124e-20,1.39029167416107e-16,6.761710326006998e-06,6.7617103824954674e-06,0.16512382088016425,-0.16512381812121923,3.497569301795899e-21,0.006761710326006998,0.16512382088016425,0.006761710382495467,0.012776104659536743
11A_a,560.0,7124.908125971529,-14495.6787075467,9.660994578746339e-14,-1.57072734071852,1.09739752317389e+31,3.3161637146967995,0.06093721102966201,3.81032915601973,0.164014628212064,267.019924816982,6.89860763739589e-05,1.7550628569974398e-18,8.73569151600042e-20,1.41323670723402e-16,8.681109083884259e-20,1.4132369627291498e-16,4.59774337712051e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,14495.6787075467,2.0345074562726544,0.491519456916645,2.8554858817849464e-07,0.164014628212064,267.019924816982,8.681109083884259e-20,1.4132369627291498e-16,6.71628968219854e-06,6.7162896981802106e-06,0.16401462860234314,-0.16401462782178475,3.554856304248958e-21,0.00671628968219854,0.16401462860234314,0.006716289698180211,0.04491842889923745
11A_a,561.0,7124.908125971529,-8708.406614905442,3.36125301639242e-14,-1.57068149522584,1.16526096485954e+31,3.31449060214287,0.060914131771202,2.99956228557157,0.164006836272363,268.16631645122897,0.00011483156906000001,1.6983838550968798e-18,8.551397008933539e-20,1.3741540351305802e-16,8.404534385213139e-20,1.37415342130769e-16,4.43224543313398e-22,2.9296875,4.09493333333333e-05,2.0,4.0,845,164,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,8708.406614905442,1.2222482677582585,0.8181643831118804,1.7154582854239917e-07,0.164006836272363,268.16631645122897,8.404534385213139e-20,1.37415342130769e-16,6.715970607462411e-06,6.7159706517417596e-06,0.16400683735368338,-0.16400683519104223,3.441600823206507e-21,0.006715970607462411,0.16400683735368338,0.0067159706517417594,0.01610399160558096
