name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,background,slope_abs,slope_over_nuobs,slope_over_nuobs_err,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,tw_FWHM_ms,band_FWHM_mhz,line slope (mhz/ms),center_f_new,center_f_old,bandwidth (mhz),center_f_err
M007,557.0,4306.557916918234,-854.7258865507586,0.1950732326099768,-87758.81881173888,160.88276253541517,67.60049681318883,0.0153590265561697,9.3622863174983,161.6458404570307,0.3944076158064672,-87758.81881173888,0.004646030308955,2.932869339817404e-05,0.0110811525007185,0.0112494874996077,2.874121987255463e-05,2.670197418118879e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,854.7258865507586,0.198470774813682,0.0005745424818823,5.038525198174732,4.608570896817463e-08,0.3944076158064672,161.6458404570307,2.874121987255463e-05,0.0112494874996077,4.038733985858225e-06,4.038736749990399e-06,0.3944078857412499,-0.3944073458702633,2.943102929227417e-07,0.0040387339858582,0.3944078857412499,0.0040387367499903,0.6516696095415222,243.06795603287568,-852.4020947176684,4306.557916918234,4345.496953911343,380.64660478587,1.8333183204677734
M007,557.5,4306.557916918234,-885.7912763781791,0.2079361433817679,-87758.81885277043,163.49324228799165,67.51517287859672,0.0153795948109595,9.35512274655988,161.6220438919439,0.3953031139421802,-87758.81885277043,0.0046111080667652,2.9108242017755107e-05,0.0109978601687268,0.0111649298669697,2.85251842962917e-05,2.650126675132062e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,885.7912763781791,0.2056842827768237,0.0006173757913584,4.861820195979888,4.776071441389347e-08,0.3953031139421802,161.6220438919439,2.85251842962917e-05,0.0111649298669697,4.047903886767926e-06,4.04790646626277e-06,0.3953033658459736,-0.3953028620370415,2.920980733313868e-07,0.0040479038867679,0.3953033658459736,0.0040479064662627,0.6516696095415222,243.06795603287568,-891.3690476190477,4306.557916918234,4345.496953911343,380.5905861458194,1.8324283630420253
M007,558.0,4306.557916918234,-933.355063599998,0.230502885381323,-87758.81891030086,163.77156822045973,67.43299090587796,0.0153802963303618,9.360415932022876,161.4427870952686,0.3961554693144414,-87758.81891030086,0.0046038456908982,2.9062397299314965e-05,0.0109805388282468,0.0111473453910146,2.8480257868472152e-05,2.645952794073272e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,933.355063599998,0.2167287847060711,0.0006849601850006,4.614061770134531,5.032529200516636e-08,0.3961554693144414,161.4427870952686,2.8480257868472152e-05,0.0111473453910146,4.05663200577988e-06,4.056634334080768e-06,0.3961556966875749,-0.3961552419400703,2.916380079587256e-07,0.0040566320057798,0.3961556966875749,0.0040566343340807,0.6516696095415222,243.06795603287568,-934.0693612774452,4306.557916918234,4345.496953911343,380.1684929788681,1.8337421404202123
M007,558.5,4306.557916918234,-974.21412699807,0.251400290436242,-87758.81895523606,163.65496970529065,67.34253759771596,0.0153518154087167,9.364207775957642,161.33837453862202,0.3972748348713557,-87758.81895523606,0.0046088772185822,2.909415949229885e-05,0.0109925394205863,0.0111595282878907,2.8511383847641466e-05,2.648844547179131e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,974.21412699807,0.2262164229049115,0.0007467927307392,4.420545542886349,5.2528359601579823e-08,0.3972748348713557,161.33837453862202,2.8511383847641466e-05,0.0111595282878907,4.068094309082682e-06,4.068096452217171e-06,0.3972750441618332,-0.3972746255797205,2.919567244072789e-07,0.0040680943090826,0.3972750441618332,0.0040680964522171,0.6589103829808725,243.06795603287568,-981.0665618448636,4306.557916918234,4345.496953911343,379.92263824597046,1.8346049038148549
M007,559.0,4306.557916918234,-1031.2375120244426,0.2822807945383275,-87758.81901199567,163.3080865774876,67.1995679842933,0.0153946567370821,9.367958778208704,161.10411763048566,0.3988104176230189,-87758.81901199567,0.0046185131547963,2.9154987648871777e-05,0.0110155218953573,0.0111828598931476,2.857099356832412e-05,2.654382576539167e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1031.2375120244426,0.2394574813386916,0.000837635131916,4.176106732641975,5.5602986412417054e-08,0.3988104176230189,161.10411763048566,2.857099356832412e-05,0.0111828598931476,4.083818676459714e-06,4.083820596526297e-06,0.3988106051295211,-0.3988102301154567,2.925671116944479e-07,0.0040838186764597,0.3988106051295211,0.0040838205965262,0.6661511564202227,247.48737341529164,-1033.0435982339957,4306.557916918234,4345.496953911343,379.3710271654076,1.8339720438154232
M007,559.5,4306.557916918234,-1095.1064986440576,0.3181378959907357,-87758.81906855114,163.69612955977436,67.08316047025184,0.0153943797913096,9.370482955863276,160.84530086026876,0.4002518062457374,-87758.81906855114,0.0046157363817632,2.91374588921108e-05,0.0110088990698614,0.0111761364599831,2.855381592607488e-05,2.652786691025181e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1095.1064986440576,0.2542881158852994,0.0009451577893397,3.932547128750073,5.904671916435473e-08,0.4002518062457374,160.84530086026876,2.855381592607488e-05,0.0111761364599831,4.098578495956352e-06,4.098580204742723e-06,0.4002519731194065,-0.4002516393711054,2.9239119698737094e-07,0.0040985784959563,0.4002519731194065,0.0040985802047427,0.6661511564202227,251.9067907977076,-1098.518192488263,4306.557916918234,4345.496953911343,378.76158069988935,1.8343346421908007
M007,559.7,4306.557916918234,-1099.850423332041,0.3216447228612751,-87758.81907248979,163.0606648009243,67.07335326650086,0.0153987529376563,9.372710025528466,160.8618603279889,0.4003136455228852,-87758.81907248979,0.0046264458761355,2.920506401003945e-05,0.0110344420732753,0.0112020674840159,2.8620066878219404e-05,2.658941722807502e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1099.850423332041,0.2553896742015935,0.0009537196759174,3.915585088262587,5.9302505418143766e-08,0.4003136455228852,160.8618603279889,2.8620066878219404e-05,0.0112020674840159,4.099211730154344e-06,4.099213424493415e-06,0.400313810985685,-0.4003134800591298,2.9306960596840177e-07,0.0040992117301543,0.400313810985685,0.0040992134244934,0.6661511564202227,251.9067907977076,-1106.3091016548462,4306.557916918234,4345.496953911343,378.80057660960665,1.8343131769664587
M007,560.0,4306.557916918234,-1154.5256175966215,0.3570249781410018,-87758.81911554768,160.70357094960664,66.96031750365962,0.0154027739586126,9.377108880670676,160.65469044345588,0.4017127038196901,-87758.81911554768,0.0046604708368942,2.941985117596648e-05,0.0111155943105533,0.0112844525190145,2.8830551703790044e-05,2.678496774394048e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1154.5256175966215,0.2680854733338402,0.0010509476238957,3.7301536243805526,6.22505208349042e-08,0.4017127038196901,160.65469044345588,2.8830551703790044e-05,0.0112844525190145,4.113538087113626e-06,4.113539630147944e-06,0.4017128545066352,-0.4017125531318603,2.952249601891232e-07,0.0041135380871136,0.4017128545066352,0.0041135396301479,0.6661511564202227,251.9067907977076,-1155.4783950617282,4306.557916918234,4345.496953911343,378.3127434742474,1.8344295148050522
M007,560.5,4306.557916918234,-1197.3920738563434,0.3786746059433632,-87758.81914655594,165.90974569737534,66.85621575717305,0.0154118238922654,9.392451348668493,160.54599030701507,0.4028235342181738,-87758.81914655594,0.0045954896066248,2.900964839136944e-05,0.0109606088979772,0.011127112706671,2.842856555593719e-05,2.6411503299103574e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1197.3920738563434,0.2780392361965946,0.0011325876945661,3.596614685320617,6.456182444553283e-08,0.4028235342181738,160.54599030701507,2.842856555593719e-05,0.011127112706671,4.1249129903941e-06,4.124914428891996e-06,0.402823674696484,-0.402823393739029,2.911086128124107e-07,0.0041249129903941,0.402823674696484,0.0041249144288919,0.6661511564202227,251.9067907977076,-1199.9198717948714,4306.557916918234,4345.496953911343,378.056784282174,1.8343860730177135
M007,561.0,4306.557916918234,-1446.9246797948026,0.5592990218056556,-87758.81929058321,162.36303066564162,66.5715923924935,0.0154515185283952,9.391582841428386,159.4452470638186,0.407365306372926,-87758.81929058321,0.0046482627650964,2.934278606855185e-05,0.0110864770857537,0.0112548929720675,2.8755030268507185e-05,2.671480470208862e-07,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1446.9246797948026,0.3359817069011392,0.0016548450764775,2.976352519972894,7.801629825556073e-08,0.407365306372926,159.4452470638186,2.8755030268507185e-05,0.0112548929720675,4.171420737258762e-06,4.171421733487965e-06,0.4073654036609341,-0.4073652090843069,2.944515802712537e-07,0.0041714207372587,0.4073654036609341,0.0041714217334879,0.6733919298595729,256.32620818012344,-1444.34799382716,4306.557916918234,4345.496953911343,375.4647742007643,1.8343314800311226
