name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,background,regstart_a,regend_a,regstart_b,regend_b,regstart_c,regend_c,regstart_d,regend_d,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err,tw_FWHM_ms,band_FWHM_mhz,line slope (mhz/ms),center_f_new,center_f_old,bandwidth (mhz),center_f_err
11Q,565.5,6483.352496057069,16999.29682252675,75.90739445342793,-1.5708551527574812,4.231289043695021,7.947178721283382,0.0308617320111454,8.193005543468603,0.0931108199406774,419.5485195135143,-5.88259625845808e-05,0.0066506570367677,8.06184051199681e-05,0.3511274009288685,7.792924024178788e-05,0.3511274848808811,2.626770731947704e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-16999.29682252675,-2.6219917601063774,-0.381389451795771,-4.044191275579994e-07,0.0931108199406774,419.5485195135143,7.792924024178788e-05,0.3511274848808811,1.9069095923850728e-06,1.9069095956844976e-06,0.0931108201017821,-0.0931108197795727,1.5959908429132725e-06,0.001906909592385,0.0931108201017821,0.0019069095956844,0.0240835662305789,,,,,,987.9612619040648,16.41897962344155
11Q,566.0,6483.352504228255,12615.4694705701,42.1003552908151,-1.57087559455423,4.15486869760332,7.946800639511019,0.030863600323014,8.34594534320941,0.093373365867544,420.47963383079696,-7.926775933628879e-05,0.00669422469326,8.351171795168979e-05,0.35417994856071,7.86495013823271e-05,0.354180043961039,2.64532431786556e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-12615.4694705701,-1.945825012960912,-0.5139208270728959,-3.0012636389767495e-07,0.093373365867544,420.47963383079696,7.86495013823271e-05,0.354180043961039,1.912286532967301e-06,1.9122865389751102e-06,0.093373366160894,-0.0933733655741939,1.610741793370508e-06,0.0019122865329673,0.093373366160894,0.0019122865389751,0.0132362444028486,0.1448154687870049,658.7694035663734,12653.334098949766,6483.352504228255,6023.212155055589,990.1538671612792,16.4947011076433
11Q,566.5,6483.352496057069,10590.204381458652,29.9141636480593,-1.5708907536785532,4.117391451908085,7.957199163160365,0.0308821781419196,8.358469810460535,0.0935060138456751,419.71605442866064,-9.442688365661313e-05,0.0067362839303441,8.597730205276657e-05,0.3553233642785863,7.916108353918159e-05,0.3553233512664651,2.6672773555108344e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-10590.204381458652,-1.6334457193094492,-0.6122027736696124,-2.5194461049323624e-07,0.0935060138456751,419.71605442866064,7.916108353918159e-05,0.3553233512664651,1.915003163559424e-06,1.915003172096925e-06,0.0935060142625452,-0.0935060134288049,1.6212189981101851e-06,0.0019150031635594,0.0935060142625452,0.0019150031720969,0.0093624240981939,,,,,,988.3557737836054,16.477788292565396
11Q,567.0,6483.352574387193,8917.93528517755,20.9730629958984,-1.57090846037334,4.09805425143151,7.9870912048807075,0.030868171293095,8.72062263003782,0.093115846980657,421.41990470253097,-0.000112133578438,0.006740184242706,8.81225935336285e-05,0.3556452469029879,7.85849347275283e-05,0.355645330922719,2.63714022318375e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-8917.93528517755,-1.375512928358747,-0.7270015274906891,-2.121607474800583e-07,0.093115846980657,421.41990470253097,7.85849347275283e-05,0.355645330922719,1.907012546163856e-06,1.9070125581531848e-06,0.0931158475660735,-0.0931158463952405,1.6094194733381506e-06,0.0019070125461638,0.0931158475660735,0.0019070125581531,0.0065486393472144,0.1448154687870049,625.623773198254,8904.19806963132,6483.352574387193,6023.212155055589,992.3680327295646,16.33856719443317
11Q,567.5,6483.352496057069,7597.843435316293,15.33855125227734,-1.5709279430887488,4.053634966452146,7.9776621323476675,0.0308883323472535,8.493990195746068,0.0931954168393191,421.5298646802976,-0.0001316162938522,0.0067796723281066,9.216937515449366e-05,0.3582144636229641,7.91968881869734e-05,0.3582144499415273,2.657074027333759e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-7597.843435316293,-1.171900407996791,-0.8533148321958245,-1.807553127351161e-07,0.0931954168393191,421.5298646802976,7.91968881869734e-05,0.3582144499415273,1.9086421368692538e-06,1.9086421534008128e-06,0.0931954176465241,-0.093195416032114,1.6219522841176302e-06,0.0019086421368692,0.0931954176465241,0.0019086421534008,0.0047632900311224,,,,,,992.6269663307849,16.15446585955385
11Q,568.0,6483.352497083552,6654.10310217533,11.7351002035372,-1.57094661000769,4.01257287579735,7.983975003302572,0.030891903599438,8.36606358329464,0.093165072512871,422.4502724674781,-0.000150283212796,0.006784611299375,9.58057291845267e-05,0.35899684001465,7.91720552454644e-05,0.358996771503796,2.65037753013146e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-6654.10310217533,-1.0263367764082838,-0.9743390502867386,-1.5830340504699804e-07,0.093165072512871,422.4502724674781,7.91720552454644e-05,0.358996771503796,1.908020685063598e-06,1.9080207066099625e-06,0.0931650735649396,-0.0931650714608023,1.6214437097372995e-06,0.0019080206850635,0.0931650735649396,0.0019080207066099,0.003625756499783,0.1448154687870049,580.0485314420897,6678.148552223486,6483.352497083552,6023.212155055589,994.7943584014662,16.1523312991873
11Q,568.5,6483.352496057069,5974.2178087556185,9.543511204713932,-1.5709637127226737,3.962908483796113,7.969235893036729,0.0308861318095883,8.29088457968294,0.0933956032931641,422.410266888394,-0.0001673859277771,0.00681506612786,0.0001001734978687,0.3612222432420489,7.986571573118083e-05,0.3612222945414229,2.673905603294431e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-5974.2178087556185,-0.9214704602887028,-1.0852219827933425,-1.4212869975049277e-07,0.0933956032931641,422.410266888394,7.986571573118083e-05,0.3612222945414229,1.912741955444e-06,1.912741982239647e-06,0.0933956046015453,-0.0933956019847828,1.63564988108844e-06,0.0019127419554439,0.0933956046015453,0.0019127419822396,0.002930323545783,,,,,,994.7001497608844,16.399689795015657
11Q,569.0,6483.352506665282,5412.47757778076,7.92006357083403,-1.57098108506396,3.89748497422312,7.96224251692533,0.030862639270423,8.09698801577305,0.093955953927188,423.0745225457141,-0.000184758269065,0.006853827886414,0.000105208616842,0.3641930922949629,8.08807728443603e-05,0.364193130234012,2.70356261416256e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-5412.47757778076,-0.8348269775885859,-1.1978530004966057,-1.2876470571827353e-07,0.093955953927188,423.0745225457141,8.08807728443603e-05,0.364193130234012,1.924217936428811e-06,1.9242179692709942e-06,0.0939559555308102,-0.0939559523235657,1.6564382561242697e-06,0.0019242179364288,0.0939559555308102,0.0019242179692709,0.0024116887471072,0.1448154687870049,542.7596972779554,5342.5188417787895,6483.352506665282,6023.212155055589,996.264349228496,16.425899777810034
11Q,569.5,6483.352496057069,5012.298173802126,6.83864633112831,-1.570995836072289,3.87836396558811,7.963227831995446,0.0308636638554399,7.879812072472832,0.0940351331229579,422.4489851034653,-0.0001995092773926,0.0068860169750709,0.0001091939539195,0.3652916508015032,8.131116972197215e-05,0.365291669196036,2.722051450956931e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-5012.298173802126,-0.7731028317294821,-1.2934889887325,-1.1924430025972736e-07,0.0940351331229579,422.4489851034653,8.131116972197215e-05,0.365291669196036,1.925839526358177e-06,1.925839564686188e-06,0.0940351349944428,-0.094035131251473,1.6652527890478069e-06,0.0019258395263581,0.0940351349944428,0.0019258395646861,0.0020772788111947,,,,,,994.7913183263078,16.398196713634253
11Q,570.0,6483.352512606562,4524.07623782298,5.56669442474188,-1.57101736639086,3.84871958137417,7.97969757240099,0.030879555232785,7.90088086283955,0.093886835233182,422.771069783442,-0.000221039595963,0.006910333913361,0.000114717137235,0.3661274700693689,8.13082062220065e-05,0.366127522789326,2.719803517296889e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-4524.07623782298,-0.6977988978736132,-1.4330776432110706,-1.076293316639466e-07,0.093886835233182,422.771069783442,8.13082062220065e-05,0.366127522789326,1.9228023855755675e-06,1.922802432548189e-06,0.093886837526767,-0.0938868329395969,1.6651921041060876e-06,0.0019228023855755,0.093886837526767,0.0019228024325481,0.0016844412997055,0.1448154687870049,499.25605741979865,4536.100903397086,6483.352512606562,6023.212155055589,995.5497652646914,16.53997172392837
11Q,570.5,6483.352496057069,4222.370095183155,4.883092042959699,-1.5710331606012091,3.7518866176818655,8.017943144598743,0.0308689750031066,7.7876433191941885,0.0933436045353188,422.4850381251284,-0.0002368338063127,0.0070285702597983,0.000119951828277,0.3703437293536808,8.182282073212133e-05,0.3703438243143009,2.738938571926573e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-4222.370095183155,-0.6512633853783273,-1.5354770780167335,-1.0045163914416209e-07,0.0933436045353188,422.4850381251284,8.182282073212133e-05,0.3703438243143009,1.9116770208833286e-06,1.91167707449655e-06,0.0933436071531519,-0.0933436019174857,1.6757314155899396e-06,0.0019116770208833,0.0933436071531519,0.0019116770744965,0.0014588818749697,,,,,,994.876208601288,16.45027276425579
11Q,571.0,6483.352436703804,3957.46823001849,4.32902188990928,-1.57104901359378,3.70384444207624,7.996462535056291,0.030916521371108,7.75034060506196,0.093684298161523,422.456537336073,-0.000252686798881,0.007048026666423,0.000125181038371,0.372337000377788,8.25687095165117e-05,0.3723369835889449,2.76410718546211e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3957.46823001849,-0.6104046122210354,-1.6382576081156597,-9.414953423870489e-08,0.093684298161523,422.456537336073,8.25687095165117e-05,0.3723369835889449,1.918654426347991e-06,1.9186544876016256e-06,0.0936843011524231,-0.0936842951706228,1.691007224884086e-06,0.0019186544263479,0.0936843011524231,0.0019186544876016,0.0012850396275153,0.1448154687870049,461.9672232556644,3941.202424263042,6483.352436703804,6023.212155055589,994.8090905137618,16.521004639486748
11Q,571.5,6483.352496057069,3643.077245471299,3.697448996001644,-1.5710708200069543,3.665387705329535,8.010470362671319,0.0309141987912527,7.424395919064635,0.0940964358395122,422.2355360177278,-0.0002744932120579,0.0070810780027392,0.0001319665054706,0.3732380460721803,8.317656007162526e-05,0.3732381367576203,2.785899205441589e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3643.077245471299,-0.5619125672538832,-1.7796362962428287,-8.667006268679936e-08,0.0940964358395122,422.2355360177278,8.317656007162526e-05,0.3732381367576203,1.9270950059932085e-06,1.927095078593162e-06,0.0940964393844318,-0.0940964322945926,1.7034560144416243e-06,0.0019270950059932,0.0940964393844318,0.0019270950785931,0.0010918488391601,,,,,,994.2886664808344,16.6500210731029
11Q,572.0,6483.352489433473,3495.52552923143,3.4298969917425097,-1.57108240680328,3.60265185077534,8.039725758957431,0.030904552990124,7.4959443467079,0.092755575015612,420.32124442467904,-0.000286080008387,0.007230770434395,0.000136573554006,0.377982378176293,8.34223906690593e-05,0.3779825315544129,2.8070883717536604e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3495.52552923143,-0.5391540156004807,-1.8547575851517195,-8.315975669673837e-08,0.092755575015612,420.32124442467904,8.34223906690593e-05,0.3779825315544129,1.8996341763197336e-06,1.899634254054445e-06,0.0927555788112522,-0.0927555712199717,1.70849063081528e-06,0.0018996341763197,0.0927555788112522,0.0018996342540544,0.0010041361230994,0.1448154687870049,426.74999098953737,3484.251418551385,6483.352489433473,6023.212155055589,989.780851220877,16.653973217063125
11Q,572.5,6483.352496057069,3339.299671186925,3.163387420812031,-1.5710957907749448,3.5113026550547097,8.049246535102196,0.0309013378645238,7.144521696569429,0.0911823740949601,418.7303659225502,-0.0002994639800481,0.0074153653480194,0.0001428278198102,0.3857250435953715,8.399357912177237e-05,0.3857251163624051,2.836883850252339e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3339.299671186925,-0.5150575528968634,-1.941530600562308,-7.944308954512376e-08,0.0911823740949601,418.7303659225502,8.399357912177237e-05,0.3857251163624051,1.867415021464783e-06,1.8674151051984348e-06,0.0911823781835174,-0.0911823700064029,1.7201885775460085e-06,0.0018674150214647,0.0911823781835174,0.0018674151051984,0.0009142961293224,,,,,,986.0346149244248,16.985470978348992
11Q,573.0,6483.352569081704,3216.9627402162605,3.0518167703647405,-1.57110717900195,3.3629327391678703,8.04744311845518,0.030896069842223,6.90886140568766,0.090210344659256,413.633952027659,-0.000310852207049,0.007694189924337,0.000150173405493,0.395477356845557,8.625149309788549e-05,0.395477459038361,2.9489428198991e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3216.9627402162605,-0.4961881535731302,-2.0153645200894865,-7.653265008899705e-08,0.090210344659256,413.633952027659,8.625149309788549e-05,0.395477459038361,1.8475078586215627e-06,1.847507947883068e-06,0.0902103490177279,-0.090210340300784,1.7664306639889875e-06,0.0018475078586215,0.0902103490177279,0.001847507947883,0.0008632128691525,0.1448154687870049,395.6759625194255,3205.511305067274,6483.352569081704,6023.212155055589,974.0334744801132,17.649411734497228
11Q,573.5,6483.352496057069,3171.1517656484803,3.188588255484734,-1.5711116696232297,3.1002752019750788,7.957440187185563,0.0308781495438004,6.769912185688118,0.0889601166309605,407.6363208552695,-0.0003153428283331,0.0081756061447979,0.000160607201979,0.4187862824937325,9.139237556845913e-05,0.418786344413739,3.17076711088892e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3171.1517656484803,-0.4891222199590497,-2.0444787809552425,-7.544279294647568e-08,0.0889601166309605,407.6363208552695,9.139237556845913e-05,0.418786344413739,1.821903188602071e-06,1.821903279188098e-06,0.0889601210541064,-0.0889601122078147,1.8717159447047816e-06,0.001821903188602,0.0889601210541064,0.001821903279188,0.0008659621914646,,,,,,959.910131705395,18.31243916322636
11Q,574.0,6483.352499653975,3127.97942666558,3.41276606677729,-1.57111602198132,2.79264670870835,7.84626540474433,0.030880595301206,6.7453736747627495,0.0885658577906169,400.760184850768,-0.000319695186422,0.008757024932246,0.0001738313043199,0.447246041541027,9.88397398270048e-05,0.4472462051756329,3.48801785680386e-07,2.9296875,2.048e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3127.97942666558,-0.4824632667794207,-2.072696656628978,-7.441570804690484e-08,0.0885658577906169,400.760184850768,9.88397398270048e-05,0.4472462051756329,1.8138287675518343e-06,1.8138288602430288e-06,0.0885658623165541,-0.0885658532646796,2.0242379751006854e-06,0.0018138287675518,0.0885658623165541,0.001813828860243,0.0008796600805426,0.1448154687870049,379.1031473353658,3122.2512711694226,6483.352499653975,6023.212155055589,943.7180683105366,19.451682744189693
11Q,574.5,6483.352496057069,3133.5673222452388,4.226668326417193,-1.5711154518888284,2.3099500256017125,7.679991789510099,0.0308342949010973,6.691954183250523,0.0869688107936375,380.27806186531774,-0.0003191250939317,0.0102212152798284,0.0001987042471962,0.5061123658796192,0.0001157466662804,0.506112439554465,4.3044737718996493e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3133.5673222452388,-0.4833251507072855,-2.069000544533273,-7.454864609030986e-08,0.0869688107936375,380.27806186531774,0.0001157466662804,0.506112439554465,1.7811212450536946e-06,1.781121335749123e-06,0.0869688152221252,-0.0869688063651498,2.3704918461291834e-06,0.0017811212450536,0.0869688152221252,0.0017811213357491,0.0009908315500431,,,,,,895.4863571674327,19.666923341954433
11Q,575.0,6483.352496057069,3165.268450100973,5.512561303364542,-1.571112255754002,1.907839437700208,7.631864089224281,0.0307800580248358,6.91157884303068,0.0860747264140143,352.0691469809145,-0.0003159289591054,0.012145126768578,0.0002238127950442,0.5602556948548525,0.0001369738880275,0.5602558126129545,5.502148288987499e-07,2.9296875,2.047999999999998e-05,2.0,2.0,845,90,45,,,,,,,,,,,,,,-3165.268450100973,-0.488214770371651,-2.04827887373984,-7.530282684283554e-08,0.0860747264140143,352.0691469809145,0.0001369738880275,0.5602558126129545,1.7628103969590114e-06,1.7628104849330383e-06,0.086074730709621,-0.0860747221184074,2.8052253668007656e-06,0.001762810396959,0.086074730709621,0.001762810484933,0.0011744234344591,,,,,,829.0594431729329,19.459527694641473
